12.19.,2.807
12.18.,2.776
12.17.,2.78
12.16.,2.727
12.13.,2.676
12.12.,2.7
12.11.,2.69
12.10.,2.637
12.09.,2.7
12.06.,2.758
12.05.,2.744
12.04.,2.766
12.03.,2.706
